freq,epsilon_r       ,epsilon_i       
83971428571,1.975,-0.00024
84000000000,1.975,-0.00025
84028571429,1.975,-0.00027
84057142857,1.975,-0.00028
84085714286,1.975,-0.00029
84114285714,1.975,-0.00031
84142857143,1.975,-0.00032
84171428571,1.975,-0.00034
84200000000,1.975,-0.00036
84228571429,1.975,-0.00037
84257142857,1.975,-0.00039
84285714286,1.975,-0.0004
84314285714,1.975,-0.00042
84342857143,1.976,-0.00044
84371428571,1.976,-0.00046
84400000000,1.976,-0.00047
84428571429,1.976,-0.00049
84457142857,1.976,-0.00051
84485714286,1.976,-0.00053
84514285714,1.976,-0.00062
84542857143,1.976,-0.00064
84571428571,1.976,-0.00066
84600000000,1.976,-0.00069
84628571429,1.976,-0.00071
84657142857,1.976,-0.00073
84685714286,1.976,-0.00075
84714285714,1.976,-0.00078
84742857143,1.976,-0.0008
84771428571,1.976,-0.00082
84800000000,1.976,-0.00084
84828571429,1.976,-0.00086
84857142857,1.976,-0.00089
84885714286,1.976,-0.00111
84914285714,1.976,-0.00114
84942857143,1.976,-0.00116
84971428571,1.976,-0.00119
85000000000,1.976,-0.00121
85028571429,1.976,-0.00123
85057142857,1.976,-0.00126
85085714286,1.976,-0.00128
85114285714,1.976,-0.00131
85142857143,1.976,-0.00133
85171428571,1.977,-0.00135
85200000000,1.977,-0.00138
85228571429,1.977,-0.0014
85257142857,1.977,-0.00142
85285714286,1.977,-0.00144
85314285714,1.977,-0.00146
85342857143,1.977,-0.00149
85371428571,1.977,-0.00151
85400000000,1.977,-0.00125
85428571429,1.977,-0.00127
85457142857,1.977,-0.00129
85485714286,1.977,-0.0013
85514285714,1.977,-0.00131
85542857143,1.977,-0.00133
85571428571,1.977,-0.00134
85600000000,1.977,-0.00136
85628571429,1.977,-0.00137
85657142857,1.977,-0.00138
85685714286,1.977,-0.00139
85714285714,1.977,-0.00141
85742857143,1.977,-0.00142
85771428571,1.977,-0.00143
85800000000,1.977,-0.00144
85828571429,1.977,-0.00145
85857142857,1.977,-0.00146
85885714286,1.977,-0.00147
85914285714,1.977,-0.00148
85942857143,1.977,-0.00149
85971428571,1.977,-0.0015
86000000000,1.978,-0.00151
86028571429,1.978,-0.00152
86057142857,1.978,-0.00152
86085714286,1.978,-0.00153
86114285714,1.978,-0.00154
86142857143,1.978,-0.00155
86171428571,1.978,-0.00155
86200000000,1.978,-0.00156
86228571429,1.978,-0.00156
86257142857,1.978,-0.00157
86285714286,1.978,-0.00157
86314285714,1.978,-0.00158
86342857143,1.978,-0.00137
86371428571,1.978,-0.00138
86400000000,1.978,-0.00138
86428571429,1.978,-0.00138
86457142857,1.978,-0.00139
86485714286,1.978,-0.00139
86514285714,1.978,-0.00139
86542857143,1.978,-0.0014
86571428571,1.978,-0.0014
86600000000,1.978,-0.0014
86628571429,1.978,-0.00166
86657142857,1.978,-0.00165
86685714286,1.978,-0.00165
86714285714,1.978,-0.00165
86742857143,1.978,-0.00165
86771428571,1.978,-0.00165
86800000000,1.978,-0.00164
86828571429,1.978,-0.00164
86857142857,1.978,-0.00164
86885714286,1.978,-0.00142
86914285714,1.979,-0.00142
86942857143,1.979,-0.00168
86971428571,1.979,-0.00167
87000000000,1.979,-0.00167
87028571429,1.979,-0.00167
87057142857,1.979,-0.00166
87085714286,1.979,-0.00166
87114285714,1.979,-0.00165
87142857143,1.979,-0.00165
87171428571,1.979,-0.00165
87200000000,1.979,-0.00143
87228571429,1.979,-0.00143
87257142857,1.979,-0.00143
87285714286,1.979,-0.00142
87314285714,1.979,-0.00168
87342857143,1.979,-0.00167
87371428571,1.979,-0.00167
87400000000,1.979,-0.00167
87428571429,1.979,-0.00167
87457142857,1.979,-0.00166
87485714286,1.979,-0.00166
87514285714,1.979,-0.00166
87542857143,1.979,-0.00166
87571428571,1.979,-0.00165
87600000000,1.979,-0.00165
87628571429,1.979,-0.00165
87657142857,1.979,-0.00142
87685714286,1.979,-0.00142
87714285714,1.979,-0.00142
87742857143,1.979,-0.00142
87771428571,1.979,-0.00142
87800000000,1.979,-0.00142
87828571429,1.979,-0.00142
87857142857,1.979,-0.00142
87885714286,1.979,-0.00142
87914285714,1.98,-0.00143
87942857143,1.98,-0.00143
